dataset,bubble_sort,std_sort
data/sorted_large.txt,1.71443,8.6209e-05
data/reverse_small.txt,0.016796,1.5917e-05
data/reverse_medium.txt,0.436421,7.7167e-05
data/reverse_large.txt,1.68215,0.000149167
data/random_small.txt,0.0278705,0.000157292
data/random_medium.txt,1.88534,0.000821333
data/random_large.txt,8.19002,0.00168821
data/sorted_small.txt,0.0161225,8.834e-06
data/sorted_medium.txt,0.411181,4.3875e-05
data/sorted_large.txt,1.6481,8.95e-05
data/reverse_small.txt,0.016463,1.5791e-05
data/reverse_medium.txt,0.416414,8.075e-05
data/reverse_large.txt,1.67712,0.000155292
data/random_small.txt,0.0279222,0.000155416
data/random_medium.txt,1.91333,0.000824666
data/random_large.txt,8.16403,0.00169058
data/sorted_small.txt,0.0162389,8.791e-06
data/sorted_medium.txt,0.412435,4.3667e-05
data/sorted_large.txt,1.66053,8.8625e-05
data/reverse_small.txt,0.0164208,1.5583e-05
data/reverse_medium.txt,0.422444,8.4e-05
data/reverse_large.txt,1.72734,0.0001475
data/random_small.txt,0.0284224,0.000155209
data/random_medium.txt,1.89648,0.0008225
data/random_large.txt,8.18499,0.00168854
data/sorted_small.txt,0.0161453,8.833e-06
data/sorted_medium.txt,0.413311,4.3291e-05
data/sorted_large.txt,1.6455,8.6375e-05
data/reverse_small.txt,0.0165874,1.575e-05
data/reverse_medium.txt,0.417368,7.6125e-05
data/reverse_large.txt,1.67743,0.000152041
data/random_small.txt,0.0278985,0.000155209
data/random_medium.txt,1.89402,0.000820625
data/random_large.txt,8.16422,0.00169146
data/sorted_small.txt,0.0162648,8.959e-06
data/sorted_medium.txt,0.409782,4.3375e-05
data/sorted_large.txt,1.64504,8.975e-05
data/reverse_small.txt,0.0163981,1.625e-05
data/reverse_medium.txt,0.416364,8.2417e-05
data/reverse_large.txt,1.69822,0.00016
data/random_small.txt,0.0278598,0.000155417
data/random_medium.txt,1.87554,0.000827125
data/random_large.txt,8.16964,0.00169108
data/sorted_small.txt,0.0161975,8.875e-06
data/sorted_medium.txt,0.409308,4.4e-05
data/sorted_large.txt,1.6434,8.7292e-05
data/reverse_small.txt,0.0165878,1.6166e-05
data/reverse_medium.txt,0.416666,8.025e-05
data/reverse_large.txt,1.67399,0.0001645
data/random_small.txt,0.0276617,0.000158833
data/random_medium.txt,1.90898,0.000820084
data/random_large.txt,8.19456,0.001689
data/sorted_small.txt,0.0162562,9.208e-06
data/sorted_medium.txt,0.417652,4.45e-05
data/sorted_large.txt,1.64303,8.7583e-05
data/reverse_small.txt,0.0162789,1.6792e-05
data/reverse_medium.txt,0.417619,8.3459e-05
data/reverse_large.txt,1.68042,0.000152333
data/random_small.txt,0.028363,0.000155333
data/random_medium.txt,1.90207,0.00117042
data/random_large.txt,8.20232,0.00168742
data/sorted_small.txt,0.0177337,9.875e-06
data/sorted_medium.txt,0.428881,4.5958e-05
data/sorted_large.txt,1.76875,9.7666e-05
data/reverse_small.txt,0.0182645,2.2417e-05
data/reverse_medium.txt,0.439094,7.7416e-05
data/reverse_large.txt,1.74135,0.000151625
data/random_small.txt,0.0286485,0.000155917
data/random_medium.txt,1.87632,0.0008905
data/random_large.txt,8.41933,0.00187079
data/sorted_small.txt,0.0176555,9.708e-06
data/sorted_medium.txt,0.468034,4.775e-05
data/sorted_large.txt,1.84993,9.4584e-05
data/reverse_small.txt,0.0215867,1.7375e-05
data/reverse_medium.txt,0.474358,9.5e-05
data/reverse_large.txt,1.8808,0.000157416
data/random_small.txt,0.0294757,0.000163834
data/random_medium.txt,2.06149,0.000850625
data/random_large.txt,9.02957,0.00173996
data/sorted_small.txt,0.0170491,9.667e-06
data/sorted_medium.txt,0.418381,4.5083e-05
data/sorted_large.txt,1.72153,8.9667e-05
data/reverse_small.txt,0.0172765,1.9833e-05
data/reverse_medium.txt,0.424422,7.7583e-05
data/reverse_large.txt,1.71774,0.000151666
data/random_small.txt,0.029157,0.000159709
data/random_medium.txt,1.88582,0.000841584
data/random_large.txt,8.26969,0.00173596
data/sorted_small.txt,0.0168791,9.583e-06
data/sorted_medium.txt,0.427247,4.4875e-05
data/sorted_large.txt,1.67706,0.000108417
data/reverse_small.txt,0.0171737,1.6875e-05
data/reverse_medium.txt,0.421569,7.6583e-05
data/reverse_large.txt,1.7189,0.000151709
data/random_small.txt,0.0282976,0.000159667
data/random_medium.txt,1.91714,0.000844292
data/random_large.txt,8.36247,0.00174113
data/sorted_small.txt,0.0171304,1.1458e-05
data/sorted_medium.txt,0.418991,4.5084e-05
data/sorted_large.txt,1.67741,8.875e-05
data/reverse_small.txt,0.0171771,1.6292e-05
data/reverse_medium.txt,0.421424,7.7542e-05
data/reverse_large.txt,1.69336,0.000152333
data/random_small.txt,0.0294019,0.000161417
data/random_medium.txt,1.85084,0.00102233
data/random_large.txt,8.53085,0.001735
data/sorted_small.txt,0.0172163,9.416e-06
data/sorted_medium.txt,0.423297,4.5042e-05
data/sorted_large.txt,1.70251,8.9833e-05
data/reverse_small.txt,0.0172656,1.6583e-05
data/reverse_medium.txt,0.422323,7.7375e-05
data/reverse_large.txt,1.68868,0.000151959
data/random_small.txt,0.0296331,0.000180459
data/random_medium.txt,1.94785,0.000841792
data/random_large.txt,8.322,0.00173725
data/sorted_small.txt,0.0166169,9.375e-06
data/sorted_medium.txt,0.415784,4.5e-05
data/sorted_large.txt,1.69065,8.8833e-05
data/reverse_small.txt,0.0166305,1.6e-05
data/reverse_medium.txt,0.420334,8.3041e-05
data/reverse_large.txt,1.68115,0.000164125
data/random_small.txt,0.029045,0.000171708
data/random_medium.txt,1.92308,0.000847875
data/random_large.txt,8.53437,0.00179488
data/sorted_small.txt,0.0170875,9.5e-06
data/sorted_medium.txt,0.426682,4.4708e-05
data/sorted_large.txt,1.68099,8.875e-05
data/reverse_small.txt,0.0167615,1.625e-05
data/reverse_medium.txt,0.419369,7.6625e-05
data/reverse_large.txt,1.68856,0.000164625
data/random_small.txt,0.0290355,0.000170417
data/random_medium.txt,1.96546,0.00126096
data/random_large.txt,8.45721,0.00174817
data/sorted_small.txt,0.0168782,9.542e-06
data/sorted_medium.txt,0.418098,7.1416e-05
data/sorted_large.txt,1.67289,8.95e-05
data/reverse_small.txt,0.0175641,1.6125e-05
data/reverse_medium.txt,0.421372,0.000101375
data/reverse_large.txt,1.70578,0.000153542
data/random_small.txt,0.0292934,0.000159625
data/random_medium.txt,1.99692,0.000862417
data/random_large.txt,8.47857,0.00175942
data/sorted_small.txt,0.0166989,9.291e-06
data/sorted_medium.txt,0.418118,4.55e-05
data/sorted_large.txt,1.67202,8.8667e-05
data/reverse_small.txt,0.016602,1.7208e-05
data/reverse_medium.txt,0.418734,7.6542e-05
data/reverse_large.txt,1.67676,0.000152792
data/random_small.txt,0.029708,0.00015975
data/random_medium.txt,1.94204,0.000841042
data/random_large.txt,8.27168,0.00174108
data/sorted_small.txt,0.0166312,9.042e-06
data/sorted_medium.txt,0.416459,4.4583e-05
data/sorted_large.txt,1.67418,8.9333e-05
data/reverse_small.txt,0.0165645,1.6e-05
data/reverse_medium.txt,0.418531,8.0333e-05
data/reverse_large.txt,1.67475,0.000151542
data/random_small.txt,0.0283459,0.000233709
data/random_medium.txt,1.92084,0.000840917
data/random_large.txt,8.33627,0.00180013
data/sorted_small.txt,0.0164101,9.084e-06
data/sorted_medium.txt,0.41619,4.45e-05
data/sorted_large.txt,1.6655,8.9125e-05
data/reverse_small.txt,0.0166618,1.6083e-05
data/reverse_medium.txt,0.4186,7.6834e-05
data/reverse_large.txt,1.67561,0.000151917
data/random_small.txt,0.027757,0.0001725
data/random_medium.txt,1.92991,0.00084425
data/random_large.txt,8.38045,0.00173562
data/sorted_small.txt,0.0164958,9.541e-06
data/sorted_medium.txt,0.41824,4.45e-05
data/sorted_large.txt,1.66852,9.0042e-05
data/reverse_small.txt,0.0165796,1.5958e-05
data/reverse_medium.txt,0.418753,7.7875e-05
data/reverse_large.txt,1.69039,0.000151625
data/random_small.txt,0.028989,0.000155167
data/random_medium.txt,1.90334,0.000843
data/random_large.txt,8.32566,0.00173696
data/sorted_small.txt,0.016402,9.375e-06
data/sorted_medium.txt,0.416228,4.4333e-05
data/sorted_large.txt,1.67737,8.9625e-05
data/reverse_small.txt,0.0164841,1.6166e-05
data/reverse_medium.txt,0.41795,7.675e-05
data/reverse_large.txt,1.6759,0.00015225
data/random_small.txt,0.0282781,0.000154875
data/random_medium.txt,1.89875,0.000845459
data/random_large.txt,8.3478,0.00174083
data/sorted_small.txt,0.0161735,1.2583e-05
data/sorted_medium.txt,0.416015,4.7542e-05
data/sorted_large.txt,1.66911,8.9917e-05
data/reverse_small.txt,0.0164958,3.2125e-05
data/reverse_medium.txt,0.431319,7.7375e-05
data/reverse_large.txt,1.67617,0.000153
data/random_small.txt,0.0283363,0.000186417
data/random_medium.txt,1.90964,0.000833167
data/random_large.txt,8.20423,0.00175654
data/sorted_small.txt,0.0164442,9.083e-06
data/sorted_medium.txt,0.415961,4.4833e-05
data/sorted_large.txt,1.66401,9.2875e-05
data/reverse_small.txt,0.0165627,2.8333e-05
data/reverse_medium.txt,0.41815,7.6542e-05
data/reverse_large.txt,1.67768,0.000165167
data/random_small.txt,0.0279481,0.000158584
data/random_medium.txt,1.88808,0.000841917
data/random_large.txt,8.31266,0.00169196
data/sorted_small.txt,0.0171649,9.167e-06
data/sorted_medium.txt,0.418362,4.4708e-05
data/sorted_large.txt,1.6642,8.9333e-05
data/reverse_small.txt,0.0172657,1.575e-05
data/reverse_medium.txt,0.417981,7.6917e-05
data/reverse_large.txt,1.68438,0.00015525
data/random_small.txt,0.0283918,0.000156667
data/random_medium.txt,1.91341,0.000820583
data/random_large.txt,8.19608,0.00173625
data/sorted_small.txt,0.0161788,9.083e-06
data/sorted_medium.txt,0.416298,4.8291e-05
data/sorted_large.txt,1.66548,8.8958e-05
data/reverse_small.txt,0.0164242,1.725e-05
data/reverse_medium.txt,0.42225,7.625e-05
data/reverse_large.txt,1.67457,0.000152833
data/random_small.txt,0.0277775,0.000155584
data/random_medium.txt,1.90545,0.000816583
data/random_large.txt,8.37553,0.00173742
data/sorted_small.txt,0.0165207,9.125e-06
data/sorted_medium.txt,0.415895,4.4959e-05
data/sorted_large.txt,1.66736,8.9583e-05
data/reverse_small.txt,0.0166365,1.6167e-05
data/reverse_medium.txt,0.418745,7.6125e-05
data/reverse_large.txt,1.67917,0.000165458
data/random_small.txt,0.0284679,0.000155625
data/random_medium.txt,1.90216,0.000868458
data/random_large.txt,8.31759,0.00174246
data/sorted_small.txt,0.0164419,9.083e-06
data/sorted_medium.txt,0.415598,4.4916e-05
data/sorted_large.txt,1.66647,8.9333e-05
data/reverse_small.txt,0.0166184,1.6292e-05
data/reverse_medium.txt,0.418026,7.7083e-05
data/reverse_large.txt,1.67547,0.00015225
data/random_small.txt,0.0284184,0.000159417
data/random_medium.txt,1.88641,0.000875625
data/random_large.txt,8.26748,0.00175642
data/sorted_small.txt,0.0164789,9.125e-06
data/sorted_medium.txt,0.415894,4.5292e-05
data/sorted_large.txt,1.66524,8.9084e-05
data/reverse_small.txt,0.0164363,1.6917e-05
data/reverse_medium.txt,0.417561,8.2625e-05
data/reverse_large.txt,1.67596,0.000159833
data/random_small.txt,0.0277884,0.0001555
data/random_medium.txt,1.8944,0.000841083
data/random_large.txt,8.23658,0.00176296
data/sorted_small.txt,0.0164508,9.167e-06
data/sorted_medium.txt,0.420587,4.4792e-05
data/sorted_large.txt,1.67144,9.2958e-05
data/reverse_small.txt,0.0164625,1.625e-05
data/reverse_medium.txt,0.417947,7.6958e-05
data/reverse_large.txt,1.67561,0.000153958
data/random_small.txt,0.0282002,0.000155042
data/random_medium.txt,1.91948,0.000842958
data/random_large.txt,8.2069,0.00169708
data/sorted_small.txt,0.0172017,1.0209e-05
data/sorted_medium.txt,0.422149,4.4917e-05
data/sorted_large.txt,1.66442,8.9292e-05
data/reverse_small.txt,0.0171548,1.6e-05
data/reverse_medium.txt,0.417629,7.7625e-05
data/reverse_large.txt,1.68248,0.000151708
data/random_small.txt,0.0280551,0.0001555
data/random_medium.txt,1.87876,0.000839125
data/random_large.txt,8.1979,0.00169487
data/sorted_small.txt,0.0161205,8.917e-06
data/sorted_medium.txt,0.415784,4.5e-05
data/sorted_large.txt,1.67919,8.8833e-05
data/reverse_small.txt,0.0165628,1.625e-05
data/reverse_medium.txt,0.418192,8.4875e-05
data/reverse_large.txt,1.67487,0.00015175
data/random_small.txt,0.0287852,0.000159583
data/random_medium.txt,1.8729,0.000846667
data/random_large.txt,8.20852,0.00173496
